"Atividades","743"
"Distância total","7,481.26 km"
"Distância média","10.07 km"
"Distância máxima","133.53 km"
"Tempo total de atividade","775:08:44 h:m:s"
"Tempo em movimento","725:03:56 h:m:s"
"Tempo médio","1:02:36 h:m:s"
"Tempo máximo","20:04:44 h:m:s"
"Total de percursos","--"
"Tempo de escalada","--"
"Total de subida na rota","--"
"Máximo de subida na rota","--"
"Percursos tentados","--"
"Percursos concluídos","--"
"Concluídas sem quedas","--"
"Quedas","--"
"Calorias na atividade","467,330"
"Subida total","108,644 m"
"Média da subida","161 m"
"Subida máxima","3,511 m"
"Descida total","106,600 m"
"Média da descida","180 m"
"Descida máxima","2,247 m"
"Velocidade média","9.7 km/h"
"Velocidade máxima","235.9 km/h"
"Ritmo médio","6:13 /km"
"Melhor ritmo","0:15 /km"
"Frequência cardíaca média","135 bpm"
"Frequência cardíaca máxima","208 bpm"
"Cadência média de corrida","164 ppm"
"Cadência de corrida máxima","248 ppm"
"Cadência média de bicicleta","--"
"Cadência de bicicleta máxima","--"
"Potência média","--"
"Energia máxima","--"
"Oscilação vertical","--"
"Tempo de contato com o solo","--"
"Comprimento média de passos","1.11 m"
"Média de estresse","--"
"Cadência média","--"
"Cadência máxima","--"
"Tempo total de descanso","--"
"Tempo total","775:08:44 h:m:s"